cooalpha,codalpha,commodity_code,statreg,eligibility,use,perref,statvalue,netmass,suppunit,month,year,imports_total,imports_exc_special_regime,eligibility_mfn,eligibility_gsp,eligibility_fta,eligibility_combined_pref,eligibility_unknown,eligibility__pref_unknown,use_mfn_0,use_mfn_non_0,use_gsp_0,use_gsp_non_0,use_fta_0,use_fta_non_0,use_unknown,eligibility_pref,use_pref
AD,AD,84717098,1,e1,u10,202201,11623,8,48.0,01,2022,11623,11623,11623,0,0,0,0,0,11623,0,0,0,0,0,0,0,0
AD,AD,85235200,1,e1,u10,202201,21279,2,7.0,01,2022,21279,21279,21279,0,0,0,0,0,21279,0,0,0,0,0,0,0,0
AD,AD,85309000,1,e1,u10,202201,21030,370,0.0,01,2022,21030,21030,21030,0,0,0,0,0,21030,0,0,0,0,0,0,0,0
AD,ES,85235200,1,e1,u10,202201,152149,807,146821.0,01,2022,152149,152149,152149,0,0,0,0,0,152149,0,0,0,0,0,0,0,0
AD,FR,85423310,1,e1,u10,202201,1233,1,0.0,01,2022,1233,1233,1233,0,0,0,0,0,1233,0,0,0,0,0,0,0,0
AD,KR,85311030,1,e3,u11,202201,2346,22,16.0,01,2022,2346,2346,0,0,2346,0,0,0,0,2346,0,0,0,0,0,2346,0
AD,KR,90271010,1,e1,u10,202201,92821,999,471.0,01,2022,92821,92821,92821,0,0,0,0,0,92821,0,0,0,0,0,0,0,0
AD,KR,90279000,1,e1,u10,202201,9066,101,0.0,01,2022,9066,9066,9066,0,0,0,0,0,9066,0,0,0,0,0,0,0,0
AE,AE,01063100,1,e1,u10,202201,21005,141,32.0,01,2022,21005,21005,21005,0,0,0,0,0,21005,0,0,0,0,0,0,0,0
AE,AE,04029910,1,e1,u11,202201,2386,515,0.0,01,2022,2386,2386,2386,0,0,0,0,0,0,2386,0,0,0,0,0,0,0
AE,AE,07129090,1,e1,u11,202201,19656,3570,0.0,01,2022,19656,19656,19656,0,0,0,0,0,0,19656,0,0,0,0,0,0,0
AE,AE,07132000,1,e1,u10,202201,17803,24000,0.0,01,2022,17803,17803,17803,0,0,0,0,0,17803,0,0,0,0,0,0,0,0
AE,AE,07133100,1,e1,u10,202201,100006,99000,0.0,01,2022,100006,100006,100006,0,0,0,0,0,100006,0,0,0,0,0,0,0,0
AE,AE,08029990,1,e1,u11,202201,918,107,0.0,01,2022,918,918,918,0,0,0,0,0,0,918,0,0,0,0,0,0,0
AE,AE,08041000,1,e1,u11,202201,659289,467654,0.0,01,2022,659289,659289,659289,0,0,0,0,0,0,659289,0,0,0,0,0,0,0
AE,AE,08134095,1,e1,u11,202201,11684,1200,0.0,01,2022,11684,11684,11684,0,0,0,0,0,0,11684,0,0,0,0,0,0,0
AE,AE,09012100,1,e1,u11,202201,3722,674,0.0,01,2022,3722,3722,3722,0,0,0,0,0,0,3722,0,0,0,0,0,0,0
AE,AE,09023000,1,e1,u10,202201,22806,1654,0.0,01,2022,22806,22806,22806,0,0,0,0,0,22806,0,0,0,0,0,0,0,0
AE,AE,09024000,1,e1,u10,202201,76861,10794,0.0,01,2022,76861,76861,76861,0,0,0,0,0,76861,0,0,0,0,0,0,0,0
AE,AE,09109190,1,e1,u10,202201,148357,30450,0.0,01,2022,148357,148357,148357,0,0,0,0,0,148357,0,0,0,0,0,0,0,0
AE,AE,10063027,1,e1,u11,202201,212305,240000,0.0,01,2022,212305,212305,212305,0,0,0,0,0,0,212305,0,0,0,0,0,0,0
AE,AE,12040090,1,e1,u10,202201,36843,43800,0.0,01,2022,36843,36843,36843,0,0,0,0,0,36843,0,0,0,0,0,0,0,0
AE,AE,12119086,1,e1,u10,202201,2277,715,0.0,01,2022,2277,2277,2277,0,0,0,0,0,2277,0,0,0,0,0,0,0,0
AE,AE,15180095,1,e1,u11,202201,15573,23520,0.0,01,2022,15573,15573,15573,0,0,0,0,0,0,15573,0,0,0,0,0,0,0
AE,AE,18062095,1,e1,u11,202201,5622,2310,0.0,01,2022,5622,5622,5622,0,0,0,0,0,0,5622,0,0,0,0,0,0,0
AE,AE,18063100,1,e1,u11,202201,22453,3450,0.0,01,2022,22453,22453,22453,0,0,0,0,0,0,22453,0,0,0,0,0,0,0
AE,AE,19053211,1,e1,u11,202201,55440,12271,0.0,01,2022,55440,55440,55440,0,0,0,0,0,0,55440,0,0,0,0,0,0,0
AE,AE,19059030,1,e1,u11,202201,49898,95968,0.0,01,2022,49898,49898,49898,0,0,0,0,0,0,49898,0,0,0,0,0,0,0
AE,AE,20091200,2,e1,uzz,202201,6137,3760,0.0,01,2022,6137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AE,AE,20095090,2,e1,uzz,202201,313,1053,0.0,01,2022,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AE,AE,20097199,2,e1,uzz,202201,4834,4402,0.0,01,2022,4834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AE,AE,20098936,2,e1,uzz,202201,2120,2255,0.0,01,2022,2120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AE,AE,21069092,2,e1,uzz,202201,102630,6418,0.0,01,2022,102630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AE,AE,21069098,1,e1,u11,202201,59281,23795,0.0,01,2022,59281,59281,59281,0,0,0,0,0,0,59281,0,0,0,0,0,0,0
AE,AE,22021000,1,e1,u11,202201,13527,50819,50819.0,01,2022,13527,13527,13527,0,0,0,0,0,0,13527,0,0,0,0,0,0,0
AE,AE,22021000,2,e1,uzz,202201,4485,2148,19940.0,01,2022,4485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AE,AE,22029100,1,e1,u10,202201,19110,48000,48000.0,01,2022,19110,19110,19110,0,0,0,0,0,19110,0,0,0,0,0,0,0,0
AE,AE,22029911,1,e1,u11,202201,2709,16620,16620.0,01,2022,2709,2709,2709,0,0,0,0,0,0,2709,0,0,0,0,0,0,0
AE,AE,22083011,1,e1,u10,202201,17088,1544,1536.0,01,2022,17088,17088,17088,0,0,0,0,0,17088,0,0,0,0,0,0,0,0
AE,AE,22084011,1,e1,u11,202201,1631,498,192.0,01,2022,1631,1631,1631,0,0,0,0,0,0,1631,0,0,0,0,0,0,0
AE,AE,24031990,1,e1,u11,202201,1667,24,0.0,01,2022,1667,1667,1667,0,0,0,0,0,0,1667,0,0,0,0,0,0,0
AE,AE,25162000,1,e1,u10,202201,87676,216000,0.0,01,2022,87676,87676,87676,0,0,0,0,0,87676,0,0,0,0,0,0,0,0
AE,AE,27101921,1,e1,u10,202201,96488370,162295331,0.0,01,2022,96488370,96488370,96488370,0,0,0,0,0,96488370,0,0,0,0,0,0,0,0
AE,AE,27101943,1,e1,u10,202201,28599368,58637269,0.0,01,2022,28599368,28599368,28599368,0,0,0,0,0,28599368,0,0,0,0,0,0,0,0
AE,AE,27101981,1,e1,u11,202201,39175,23710,28300.0,01,2022,39175,39175,39175,0,0,0,0,0,0,39175,0,0,0,0,0,0,0
AE,AE,27102090,1,e1,u11,202201,108998,70473,0.0,01,2022,108998,108998,108998,0,0,0,0,0,0,108998,0,0,0,0,0,0,0
AE,AE,27129099,1,e1,u10,202201,12863,5914,0.0,01,2022,12863,12863,12863,0,0,0,0,0,12863,0,0,0,0,0,0,0,0
AE,AE,28363000,1,e1,u11,202201,39923,21600,0.0,01,2022,39923,39923,39923,0,0,0,0,0,0,39923,0,0,0,0,0,0,0
